node	score
RPS14	0.00027010960098455367
PGM5	0.00026984579651231135
PHKA1	0.00026976398339569296
PHB1	0.00026970674122956203
CA2	0.0002685628803856992
H3C12	0.00026845577529424576
CD74	0.00026842477063649913
SLC2A5	0.0002680807719643488
H3-3B	0.0002677396097359277
RBM45	0.0002675611295163935
CXCR4	0.0002674488761406075
H3C13	0.0002667642225369547
ADK	0.00026539059055451095
MED1	0.0002641684527837206
TGFB1	0.00026398925711843815
APBB1IP	0.0002627544611991455
MRPL19	0.0002626616784709758
RPS6	0.00026125383101698805
MRTO4	0.0002595846755107957
CCT7	0.00025952284715504093
PNPT1	0.00025929851755878336
HMBS	0.00025868748271306837
POLR1C	0.0002576035533867802
EIF4A3	0.00025536602892102577
GMPPB	0.00025515509631879617
GRB7	0.00025507650655497377
H3-4	0.0002543685028240783
NPM1	0.00025414819938614214
RPS3A	0.00025397488046965033
YARS1	0.0002536974922606378
TLR2	0.00025321162077207875
TLN1	0.0002531762840078984
PUDP	0.0002523631356245579
GK	0.0002520829557737946
BECN1	0.0002520057312961762
AK1	0.00025179905722703884
UMPS	0.00025162388012109766
PDCD11	0.00025120161507008476
ACSL1	0.00025066484051656433
CKB	0.00025020664677564275
APRT	0.00025003692931031596
ATP5PO	0.00024887301036650723
ITGAM	0.00024793739060989577
RPL7	0.00024757256354708974
HMGN1	0.0002475640840870049
GPD1	0.0002470230874414889
MRPS5	0.00024667593068904647
H3-7	0.00024640335631175903
EGLN1	0.000246378032099173
H3-5	0.0002462325951434745
SIRT2	0.0002452378859617325
ALAS2	0.0002445465946684791
FBXW7	0.00024389861307626102
MRPS11	0.00024335179406175054
ANXA1	0.00024333197094555665
GK2	0.00024310836800045565
GRB14	0.00024224596077907146
POLR2F	0.00024202240355055663
GPX4	0.00024145385165079498
OXSM	0.00024087382709783573
UPRT	0.00024035003837641372
POU3F4	0.00023935316881794054
NME2	0.00023889365475445313
WDR90	0.00023887599718672652
ACTA1	0.00023882210205555972
RACK1	0.00023866637076417672
SLC4A1	0.00023776819955905897
HSPA1B	0.000237050698682612
MRPL13	0.0002362987731046581
PGLS	0.0002358254745263121
CXCL12	0.00023574974679805227
RPL18	0.000235618060062066
CA6	0.00023446645282856416
POLR1B	0.00023419746976581144
CAV1	0.00023405768512461616
RAN	0.00023368779061150733
RPS23	0.0002335538081997453
EIF4A1	0.00023219052105176056
APOB	0.00023162116321986915
PIGA	0.00023156900751172382
MAT2A	0.00023092951645258068
ATP7A	0.0002307986557548685
MAPT	0.0002298242273283614
APOA1	0.00022954651093465834
MRPS10	0.00022945682522766526
CETN3	0.00022912507902911116
YBX1	0.0002289220637007826
GABARAPL2	0.00022868990594099986
TUBB4A	0.00022813804873133477
CCT8	0.0002276230478937168
SELENBP1	0.00022739408351834584
EFL1	0.00022734752546021704
ADSS2	0.0002269254377826918
PGP	0.00022666046698154136
ERVW-1	0.00022597886939869602
GABARAPL1	0.00022562684439158292
CCT4	0.00022531408549688245
NME1	0.0002248037422590653
H4C6	0.00022391361966544977
IMPDH2	0.00022253595161358575
RPL10A	0.00022224619877746218
FUCA1	0.00022176543048279458
FLT3LG	0.00022157961353026025
TLN2	0.0002213106952627784
RAPH1	0.0002210301823119119
LRGUK	0.00022056875595274596
GRB10	0.00022042458881279338
MSN	0.00021978642531126464
NDUFS3	0.00021965036195870398
MRPS2	0.00021912951586668258
EPO	0.00021806652956602013
CLEC3B	0.00021775164551269364
XRCC6	0.00021774473348028765
FYN	0.00021765070466894088
ERVFRD-1	0.00021733636441041636
LAMP2	0.00021712657194019106
CTLA4	0.0002171049367340994
HDAC1	0.00021688201112962695
ACTN1	0.0002168280986372566
PRTN3	0.00021515473704452056
PCNA	0.00021501074008892769
RPL17	0.00021494370903829495
RCVRN	0.00021462352668926067
RPL7L1	0.0002143300743585609
H2BC1	0.00021427825530763805
NFKB1	0.00021418215525538373
TARDBP	0.00021413112927699894
MRPS12	0.00021377350420669812
ERV3-1	0.00021348605536936261
MRPS15	0.00021334537664285553
GSN	0.0002132108617989461
MAT1A	0.00021307136483405512
H2BC11	0.00021293726486687822
PDIA4	0.00021242847008195748
H2BC17	0.0002122637479388718
H2BC3	0.00021219380294005793
HDAC3	0.0002121250700019759
RPS29	0.0002113635460987187
PNP	0.0002110536218672439
TH	0.0002110315980841393
GFAP	0.00021094230528768824
H2BC5	0.00021089221050115995
EGLN3	0.0002108479426268925
H2BC4	0.0002105774276043571
ISG15	0.000210465704692728
H2BC12	0.00021045572577245948
MRPL2	0.0002103866395063273
RUVBL1	0.00021034190669945338
H2BC14	0.00021033108929476566
PPP1R10	0.00020932622059390596
ARHGAP6	0.00020904642925951487
H2BC9	0.0002083683295821444
LTF	0.00020830454408523553
PSMA6	0.0002081336580576635
PYCR1	0.00020794629841365122
H2BC13	0.0002078571053094521
ATP5IF1	0.00020762078522883258
ABCB7	0.00020698526494869417
PIK3C3	0.00020660252256609276
GLRX	0.0002062508614075948
ADCY10	0.00020600113066788294
PSMB2	0.00020596204730252278
H2BC26	0.00020462212882665
ATP6V1B2	0.00020436828529349005
EIF5A	0.00020435927810972463
CCN2	0.00020417819446879023
ADD3	0.00020406645994025768
H2BC12L	0.0002040125455396043
HSPB6	0.00020368735836636453
H2BC15	0.0002036100085390942
XRN1	0.0002033150927061436
TAF1	0.00020310394095976057
CA3	0.0002030967154603976
ACOT7	0.00020293418527449908
FOS	0.0002021304551117854
HSPA1A	0.00020205557677191113
CTPS1	0.0002020279577862545
SRY	0.00020193272671098446
HSDL2	0.00020155762485674102
IPO8	0.00020133582658072086
FLG2	0.00020110004118494677
PPP1R26	0.0001999388275063656
ADD2	0.000199745926196584
HNRNPA1	0.0001996280824063125
MRPL1	0.00019937969899037634
RAD23B	0.00019928222403945833
MRPL22	0.0001990706578763288
HSPB1	0.00019891893072536271
DCP2	0.0001987984353431929
ADD1	0.0001985111248269982
CXorf66	0.0001983914180335075
FLG	0.00019831928334267923
FASLG	0.00019818439372460442
CLPB	0.00019813548893668628
TPM1	0.0001980921440187389
APIP	0.00019791656838842833
TPM2	0.00019786074497058184
MMUT	0.000197404506339696
EDC3	0.0001971313056565224
CA1	0.00019708762858813118
S100A10	0.00019693999377823508
FANCE	0.00019686697452178035
GSTP1	0.00019493914021428724
DDX39B	0.000194614661210665
MRPS14	0.0001944550620892625
ASPM	0.0001943807843921949
RABIF	0.0001943450384218517
HUWE1	0.00019410170818670404
PPP2R1A	0.00019383386398934917
MRPL12	0.00019364571264220062
ADSS1	0.00019336466653856963
H2BC18	0.0001933012371490992
RPS24	0.00019319655579026556
RECQL4	0.0001925570818100443
MRNIP	0.00019181395438830565
PADI4	0.0001913516957423852
TNF	0.0001910645705100982
MYCBP	0.00019081532824782692
POLR2L	0.00019078073866413275
RPL27A	0.00019071130473273087
MCM2	0.00019067058313679126
ACTR3	0.00019066090736700168
SMKR1	0.0001903256079669683
SCIN	0.00019002687113934354
RPS15A	0.00019002092186312647
RPL17-C18orf32	0.00018990818137428012
ACSL3	0.00018970944808630548
NPSR1	0.00018966284919770388
HTT	0.00018950364651530615
PLGRKT	0.0001894028244710578
PDCD6IP	0.00018936588099539083
HMGN2	0.00018930601538261088
ERO1A	0.00018925087977546143
HSPA1L	0.00018901234968558923
VTN	0.0001889746336125458
PMPCB	0.00018836147482093459
SPATA4	0.00018821472133835713
MCL1	0.00018597579929620668
BNIP3L	0.00018588631709976107
APMAP	0.00018462500843843732
LARP7	0.0001845013678441326
NAA10	0.0001844903532916115
UCHL1	0.00018385582607726106
MAP3K7	0.00018382515492254204
ATP1A1	0.00018311300579457
STS	0.00018272882531768242
AMY1B	0.00018258759710196724
SLC12A6	0.0001823011745641191
GUK1	0.00018221267762483253
EIF2AK4	0.0001821511092543525
ZFX	0.00018202449880247215
HSPB2	0.0001819670043212069
H2BK1	0.00018156304735738395
CD47	0.00018124748919351973
H2BW1	0.0001809860932812621
UCK1	0.00018083599879490343
TPO	0.00018083259493492727
H2BW2	0.00018079920806320698
PTPN22	0.0001805029206155878
HNRNPK	0.00018043691833973647
MTX1	0.0001801939642977024
PRKG1	0.00017969469082360025
GNE	0.00017962295932374134
TEX48	0.00017926634745046808
CD99	0.0001787683211097566
IVNS1ABP	0.00017866984010323102
DECR1	0.00017843176525940576
ECEL1	0.0001783194416808192
QPRT	0.00017827636921345305
TAGLN2	0.00017785414742624078
C1QA	0.00017774004134889308
PSMA3	0.00017750689688739206
EZR	0.0001773100093215379
LUM	0.00017710520160293453
OXCT1	0.00017659291089751661
AMY1C	0.00017645363672263992
DPYSL2	0.00017601289698890795
TPH2	0.0001756126439412363
AHNAK	0.00017528666640065536
CITED2	0.0001752099055611573
CHD7	0.0001748944029538977
IL6	0.00017449971242549167
LAG3	0.00017403560495825928
NGB	0.00017372489912989613
CPB1	0.00017349451709899264
EIF3I	0.0001730741299314367
FKBP1A	0.0001724488354505949
